BSPlotNumber,Species,basal_area,I,plotID,spID,basal_area_z
BS601,LIDE,9.621127501618741e-4,1,136,1,-0.17817075606144567
BS601,LIDE,0.011882288814039996,1,136,1,-0.13189632942367296
BS601,LIDE,0.018145839167134643,1,136,1,-0.10535443123349482
BS601,LIDE,6.53451271946677e-4,0,136,1,-0.179478714179156
BS601,LIDE,6.60519855417254e-4,0,136,1,-0.17944876093981912
BS601,LIDE,0.0013202543126711104,1,136,1,-0.17665312526837718
BS601,LIDE,0.003117245310524472,0,136,1,-0.16903834620140193
BS601,LIDE,9.110618695410401e-4,1,136,1,-0.178387085012212
BS601,LIDE,5.725552611167399e-4,0,136,1,-0.17982151236267804
BS601,LIDE,5.30929158456675e-4,0,136,1,-0.17999790366099522
BS601,LIDE,1.5393804002589983e-4,0,136,1,-0.18159540975896207
BS601,LIDE,7.853981633974483e-5,0,136,1,-0.18191491097855542
BS603,LIDE,0.027759112687119416,0,137,1,-0.06461802573534048
BS603,LIDE,0.004457134577280518,1,137,1,-0.16336054327821145
BS603,LIDE,0.08429599947928475,1,137,1,0.17495796689412352
BS603,LIDE,4.1547562843725005e-4,0,137,1,-0.18048713990349757
BS603,LIDE,5.30929158456675e-4,0,137,1,-0.17999790366099522
BS603,LIDE,4.5553093477052005e-4,0,137,1,-0.1803174048805886
BS603,LIDE,0.03372970952526681,0,137,1,-0.03931752290879074
BS603,LIDE,3.141592653589793e-4,1,137,1,-0.18091646966732616
BS603,LIDE,3.141592653589793e-4,0,137,1,-0.18091646966732616
BS603,LIDE,0.4324119544327527,1,137,1,1.6501050821698122
BS603,LIDE,0.03222174505154372,1,137,1,-0.04570754730065806
BS603,UMCA,4.5238934211693025e-4,1,137,4,-0.180330717431405
BS603,LIDE,2.544690049407733e-4,0,137,1,-0.18116940813283758
BS603,LIDE,0.014741138128806704,1,137,1,-0.11978190818075782
BS603,QUPA,0.018869190875623696,0,137,3,-0.10228921640802095
BS603,UMCA,0.024975661596038857,1,137,4,-0.0764129457586623
BS603,LIDE,6.165375582669968e-4,1,137,1,-0.1796351366512486
BS603,LIDE,0.0038484510006474965,0,137,1,-0.16593984999888706
BS603,LIDE,7.853981633974483e-5,1,137,1,-0.18191491097855542
BS603,LIDE,2.835287369864788e-4,1,137,1,-0.18104626703778598
BS603,LIDE,3.3065262679032566e-4,1,137,1,-0.1808465787755401
BS603,LIDE,3.463605900582747e-4,1,137,1,-0.18078001602145816
BS603,LIDE,7.853981633974483e-5,1,137,1,-0.18191491097855542
BS603,LIDE,3.463605900582747e-4,1,137,1,-0.18078001602145816
BS603,LIDE,9.503317777109126e-5,1,137,1,-0.1818450200867694
BS603,LIDE,7.853981633974483e-5,1,137,1,-0.18191491097855542
BS603,LIDE,0.21284761466968888,1,137,1,0.7196975618877023
BS603,LIDE,1.1309733552923256e-4,0,137,1,-0.18176847291957512
BS603,LIDE,8.042477193189871e-4,1,137,1,-0.17883971173996926
BS603,LIDE,0.005881061447520094,1,137,1,-0.15732662962068256
BS603,LIDE,0.0015904312808798326,0,137,1,-0.1755082458981676
BS603,LIDE,0.026284134936259005,0,137,1,-0.07086826834363574
BS603,LIDE,0.08761587751596574,0,137,1,0.18902600496934388
BS603,LIDE,1.3273228961416876e-4,0,137,1,-0.1816852694769727
BS603,LIDE,1.5393804002589983e-4,0,137,1,-0.18159540975896207
BS603,LIDE,8.042477193189871e-4,0,137,1,-0.17883971173996926
BS603,LIDE,2.0106192982974677e-4,1,137,1,-0.18139572149671623
BS603,LIDE,5.222897786593032e-4,1,137,1,-0.1800345131757403
BS603,LIDE,7.853981633974483e-5,1,137,1,-0.18191491097855542
BS603,LIDE,1.5393804002589983e-4,1,137,1,-0.18159540975896207
BS603,LIDE,4.5238934211693025e-4,0,137,1,-0.180330717431405
BS604,LIDE,0.004517610235862123,0,138,1,-0.16310427667499594
BS604,LIDE,0.0010752100856911068,0,138,1,-0.1776915042320556
BS604,LIDE,9.621127501618741e-4,0,138,1,-0.17817075606144567
BS604,LIDE,0.001963495408493621,0,138,1,-0.17392738048872125
BS604,LIDE,0.001017876019763093,0,138,1,-0.17793445828445473
BS604,LIDE,0.001547234381892973,0,138,1,-0.17569129347189297
BS604,LIDE,1.1309733552923256e-4,1,138,1,-0.18176847291957512
BS604,LIDE,9.503317777109126e-5,0,138,1,-0.1818450200867694
BS604,LIDE,6.157521601035993e-4,0,138,1,-0.17963846478895268
BS604,LIDE,0.0010752100856911068,0,138,1,-0.1776915042320556
BS604,LIDE,4.1547562843725005e-4,0,138,1,-0.18048713990349757
BS604,LIDE,0.0013642366098213679,0,138,1,-0.17646674955694772
BS604,LIDE,5.30929158456675e-4,0,138,1,-0.17999790366099522
BS604,LIDE,0.08244795760081053,0,138,1,0.16712685887638185
BS604,LIDE,0.052659376059472116,0,138,1,0.040897252035369036
